username,review,rating,date
mpangazehe julius iverson,can't open the app- keeps telling me to first switch off the wifi on my phone and use data instead yet my wifi is off,1,2026-05-10 23:13:10
ran gatluak,so nice,5,2026-05-10 21:45:16
Nambassa Babie,doesn't make transactions,1,2026-05-10 12:29:24
Sulaiman 256,bad,5,2026-05-10 10:44:59
Kazibwe Ashraf,good,5,2026-05-10 07:21:59
Douccette Occupy,App nolonger works. Am having problems connecting onlin with an invalid network mark.,1,2026-05-10 04:06:59
Torkyo Ungle,"à she eba , joucko",3,2026-05-09 23:59:29
Toolit Charles,All in one👊💪💪,5,2026-05-09 06:41:34
John Henry,good service,5,2026-05-08 23:48:47
Robert Byekwaso,excellent speed and very reliable,4,2026-05-08 18:42:14
Lukas den Admirant,"I'm using MTN Internet but still it keeps showing ""use MTN data to access"".",1,2026-05-08 12:11:08
Uche Ojadi,"Not really functional, can only show balances and nothing more. Even data balance is incorrect",2,2026-05-07 13:32:22
Kalayi Brian,completely can't reconnect my number online since they require me to use MTN number yet it's disconnected and WiFi or other line failed due to that restriction,1,2026-05-07 10:18:44
Jeth Tendo,"Why should the app only open if I have data connection on mtn line? It's very inconveniencing. on WiFi, it can't open. With airtel data, it can't open. It only operates on mtn data connection! Please find a way around this.",1,2026-05-07 10:10:12
Nanfuka Safina,it is not showing connection and the momo app is not working also.,1,2026-05-06 15:09:56
Brainano Brain,the best so far I can say,5,2026-05-05 15:35:50
Pirate King,its fast,5,2026-05-05 14:52:59
Josh,yes cool,5,2026-05-05 14:51:48
Odongo Sebastiano,Good,5,2026-05-05 10:56:03
Mukumbya Henry,good feelings with you,5,2026-05-05 01:23:01
Elvis Gatsby,the app keeps saying unable to connect,1,2026-05-04 12:32:03
Jack Wattson,fantastic app,5,2026-05-04 00:07:07
Mugenyi Kevin David,very bad experience. uninstalling it!,1,2026-05-02 16:55:23
Shilah zziwa,it refused to open,1,2026-05-02 12:33:04
KULE PAUL,Good performance,5,2026-05-02 08:35:07
Douglas Okello,"it never open, says switch off WiFi even if I'm on data😩😩",2,2026-05-02 06:14:48
Jabulon Alyao,keeps saying please turn your WiFi and use mobile data even if I'm using my MTN data,1,2026-04-30 19:36:11
Kasule Yahaya,At first it was working very well but after some time it stopped responding most especially when ur buying cheap bundles.... it pushes you to the expensive bundles,1,2026-04-29 17:02:46
Nuwagaba Ibrahim,it fails to work with the new mtn number of 079,3,2026-04-29 12:08:38
Godfrey Okoth,Asking me to turn off WiFi in order to access account when WiFi is off,1,2026-04-29 10:48:09
Mr Grandson Smoke,Lend me some big racks,5,2026-04-28 18:23:14
المَلاّح Navigator,تطبيق فاشل ، ما يفتح وحتى لو اشتغل معاك مافيهو اي شي تقدر تدير بيهو خدمتك وخطك ، قلدو الشركات الناجحة التقليد ما عيب وزي ما قال القائل إن التشبه بالرجال فلاح,1,2026-04-28 18:06:08
Ssenyungule Herbert,"hi, it would be helpful to make the app available for use on wifi or any other Internet connection rather than mtn mobile internet alone. look forward to your feedback.",2,2026-04-28 07:40:25
nabatanzi Iryn,thy have told me to download it so that I can pay wifi,1,2026-04-27 22:14:39
Muwonge Dalausi Bause,Mtn is good,5,2026-04-27 20:18:54
Ocaya Steven,Great,5,2026-04-27 12:33:52
Mugabi J.c.hisexellency,But this ki app! very very useless coz It can't connect always says connect to the WiFi,1,2026-04-26 20:59:47
Sheilah Shamim,it's not working,1,2026-04-26 16:00:04
Cyber Mars,"""Invalid Mobile network. Yello. please turn off your WiFi connection and use MTN mobile internet to access your account."" What could this mean because I am not using WiFi?",1,2026-04-25 14:56:18
Belinda Busingye,I can't see my mobile money account and yet that's the main reason I downloaded it.,1,2026-04-25 09:29:11
Aineamatsiko Brian,mtn improve your app,1,2026-04-23 19:12:16
Nazziwa Alaisa,not work when u open,5,2026-04-23 10:20:40
Leticia Costance,it's not opening,1,2026-04-22 10:31:08
Bogere Mike,mine has failed it keeps requesting I discount wifi despite me doing so,2,2026-04-22 09:08:41
Peter okurut,"Every time I try to login I'm told disconnect wifi and use cellular data, and when I try that it again tells me there's no network, I've tried several times and given up.",1,2026-04-22 08:31:57
Winnie Busima (Winnie Busima),"Tell me why I can't use WIFI but instead data, I am using your very WIFI wakanet and today I wanted to check for the data quota and its bringing wrong USSD. When did you change the USSD? and didn't tell us. 1 months in and I have started to shout??",2,2026-04-21 17:07:05
Nartz Jonah,Cool😎😎😎,5,2026-04-21 14:50:56
Francis Musango,can't log in even with mtn internet,1,2026-04-20 21:53:46
Counsel zaharah,"The app has failed like how many times , this is too much",1,2026-04-20 13:42:40
fredda Onekz,this app looks like a scam in your data. I can't even open it because it keeps rejecting that I use mtn data yet I use no line apart from mtn for cellular data,1,2026-04-19 23:24:00
Emmanuel Songa,"this app now failed to perform the work, is now worse, it keep telling survival errors",1,2026-04-19 18:45:49
Ashabahebwa Bob,great,5,2026-04-19 17:21:10
Abel Waistie,not bad,1,2026-04-19 16:58:32
Tsawodzi Atsu,I want to use this bundle,5,2026-04-19 06:39:55
KISAKYE LYNDA,not working,1,2026-04-19 01:05:59
Rolenzo Dj,amazing to use,4,2026-04-18 20:22:46
Anam Raymond,The best network ever,5,2026-04-18 06:58:17
Tumuhairwe Scovia,not working for me,1,2026-04-17 18:53:29
Patricia Abaho,MyMTNUganda is terrible! MTN Uganda Internet will let you down..,1,2026-04-17 18:21:24
Kizito Vicent,the up is acting weared it show invalid mobile network even if your are connected to moblie network,1,2026-04-17 15:24:01
Lucky Chilling,real mtn app,5,2026-04-16 18:33:13
Murket Elijah Chemoiko,why it say turn off WiFi but wifi off. I can't access the app,3,2026-04-16 11:08:12
Fathi Karim,Not working for MTN Sudan anymore. Why?,1,2026-04-15 12:26:34
ATUKUNDA SUZAN,the app doesn't even work after downloading it 👐,1,2026-04-15 11:52:15
Ssembule Jos,app doesn't open. keeps bringing invalid mobile network.,1,2026-04-15 08:53:19
Muyingo Isma,Best app ever,4,2026-04-12 13:25:26
FEB 11 OFFICIAL,it is very good,4,2026-04-11 17:24:35
Bashk International,I like mtn network more than other networks,5,2026-04-11 10:02:01
Ssemwogerere Phillip,"hello mtn ,why is my mtn limiting me on afree data to use this app, what can i do because i thought its free so long as am using mtn internet",1,2026-04-10 19:20:48
Ggalabuzi Joseph,nice,5,2026-04-09 20:11:03
Sauda Zaria,"It's very annoying. Even when you have data, it doesn't work as expected.",2,2026-04-09 17:35:33
Solomon Onena,"Smooth, reliable, and user-friendly - one of the best telecom apps. Highly impressed with the performance!",5,2026-04-08 22:55:10
Deryck,Too slow to open up its really annoying sometimes it totally refuses to open up even when there is internet connection. I for one don't recommend it for other staff apart from data discounts.,1,2026-04-08 22:39:47
kayongo patrick,unrivaled app,5,2026-04-08 07:07:24
mccolvin okiria,"It just doesn't open,it keeps bringing Invalid mobile network and that's where it stops",1,2026-04-06 14:10:22
John Chol Akeen Akeen,more interested,5,2026-04-05 16:03:20
Alex Kajura,fantastic,5,2026-04-04 21:42:44
Nabbanja Babra,MTN is very good and easy,5,2026-04-02 12:57:32
giraneza jimmy,not working well,1,2026-04-01 13:41:12
Musa Lazim,easy,5,2026-03-31 18:57:43
Ntanzi Edrine,Fast and affordable,5,2026-03-31 08:29:04
Muhindo Wilphine,not sure,5,2026-03-29 08:10:31
Kimera,"Good app,I really love it 😀",5,2026-03-28 15:31:16
Baguma Bumali,The app is good,1,2026-03-28 06:56:40
Juliet Lukabya,So good,5,2026-03-24 17:00:23
Mariam Wanyana,the network is poor,1,2026-03-24 09:34:17
Kashalt Rash,this app is🤮🤮🤮🤮,1,2026-03-24 06:27:00
Twebaze Allen,This is a great app. the services are easier used,5,2026-03-23 23:39:23
Quincy Kelly,Fast Easy and Reliable,5,2026-03-23 23:15:08
