username,review,rating,date,cleaned_review
mpangazehe julius iverson,can't open the app- keeps telling me to first switch off the wifi on my phone and use data instead yet my wifi is off,1,2026-05-10 23:13:10,cant open the app keeps telling me to first switch off the wifi on my phone and use data instead yet my wifi is off
Nambassa Babie,doesn't make transactions,1,2026-05-10 12:29:24,doesnt make transactions
Douccette Occupy,App nolonger works. Am having problems connecting onlin with an invalid network mark.,1,2026-05-10 04:06:59,app nolonger works am having problems connecting onlin with an invalid network mark
Torkyo Ungle,"à she eba , joucko",3,2026-05-09 23:59:29,she eba joucko
John Henry,good service,5,2026-05-08 23:48:47,good service
Robert Byekwaso,excellent speed and very reliable,4,2026-05-08 18:42:14,excellent speed and very reliable
Lukas den Admirant,"I'm using MTN Internet but still it keeps showing ""use MTN data to access"".",1,2026-05-08 12:11:08,im using mtn internet but still it keeps showing use mtn data to access
Uche Ojadi,"Not really functional, can only show balances and nothing more. Even data balance is incorrect",2,2026-05-07 13:32:22,not really functional can only show balances and nothing more even data balance is incorrect
Kalayi Brian,completely can't reconnect my number online since they require me to use MTN number yet it's disconnected and WiFi or other line failed due to that restriction,1,2026-05-07 10:18:44,completely cant reconnect my number online since they require me to use mtn number yet its disconnected and wifi or other line failed due to that restriction
Jeth Tendo,"Why should the app only open if I have data connection on mtn line? It's very inconveniencing. on WiFi, it can't open. With airtel data, it can't open. It only operates on mtn data connection! Please find a way around this.",1,2026-05-07 10:10:12,why should the app only open if i have data connection on mtn line its very inconveniencing on wifi it cant open with airtel data it cant open it only operates on mtn data connection please find a way around this
Nanfuka Safina,it is not showing connection and the momo app is not working also.,1,2026-05-06 15:09:56,it is not showing connection and the momo app is not working also
Brainano Brain,the best so far I can say,5,2026-05-05 15:35:50,the best so far i can say
Mukumbya Henry,good feelings with you,5,2026-05-05 01:23:01,good feelings with you
Elvis Gatsby,the app keeps saying unable to connect,1,2026-05-04 12:32:03,the app keeps saying unable to connect
Jack Wattson,fantastic app,5,2026-05-04 00:07:07,fantastic app
Mugenyi Kevin David,very bad experience. uninstalling it!,1,2026-05-02 16:55:23,very bad experience uninstalling it
Shilah zziwa,it refused to open,1,2026-05-02 12:33:04,it refused to open
KULE PAUL,Good performance,5,2026-05-02 08:35:07,good performance
Douglas Okello,"it never open, says switch off WiFi even if I'm on data😩😩",2,2026-05-02 06:14:48,it never open says switch off wifi even if im on data
Jabulon Alyao,keeps saying please turn your WiFi and use mobile data even if I'm using my MTN data,1,2026-04-30 19:36:11,keeps saying please turn your wifi and use mobile data even if im using my mtn data
Kasule Yahaya,At first it was working very well but after some time it stopped responding most especially when ur buying cheap bundles.... it pushes you to the expensive bundles,1,2026-04-29 17:02:46,at first it was working very well but after some time it stopped responding most especially when ur buying cheap bundles it pushes you to the expensive bundles
Nuwagaba Ibrahim,it fails to work with the new mtn number of 079,3,2026-04-29 12:08:38,it fails to work with the new mtn number of
Godfrey Okoth,Asking me to turn off WiFi in order to access account when WiFi is off,1,2026-04-29 10:48:09,asking me to turn off wifi in order to access account when wifi is off
Mr Grandson Smoke,Lend me some big racks,5,2026-04-28 18:23:14,lend me some big racks
Ssenyungule Herbert,"hi, it would be helpful to make the app available for use on wifi or any other Internet connection rather than mtn mobile internet alone. look forward to your feedback.",2,2026-04-28 07:40:25,hi it would be helpful to make the app available for use on wifi or any other internet connection rather than mtn mobile internet alone look forward to your feedback
nabatanzi Iryn,thy have told me to download it so that I can pay wifi,1,2026-04-27 22:14:39,thy have told me to download it so that i can pay wifi
Muwonge Dalausi Bause,Mtn is good,5,2026-04-27 20:18:54,mtn is good
Mugabi J.c.hisexellency,But this ki app! very very useless coz It can't connect always says connect to the WiFi,1,2026-04-26 20:59:47,but this ki app very very useless coz it cant connect always says connect to the wifi
Sheilah Shamim,it's not working,1,2026-04-26 16:00:04,its not working
